captions,keywords
"Manipal University Jaipur extends hearty congratulations to Dr. Ravi Sharma (Professor and Head of the Department of Mechanical Engineering) and Dr. Somya Rakesh Goyal (Assistant Professor in the Department of Computers and Communication Engineering) for being recognised and honoured by Stanford University as amongst the prestigious 2% Scientist List. Their dedication, passion, and outstanding contributions to their respective fields are truly commendable. Wishing them luck in their future endeavours.
Ravi Sharma","manipal university jaipur, ravi sharma professor, manipal university, honoured by stanford, university jaipur, of mechanical engineering, future endeavours ravi, somya rakesh goyal, university jaipur extends, goyal assistant professor"
"Remembering the Iron Man of India, Sardar Vallabhbhai Patel, on his birth anniversary. His unwavering dedication to uniting India stands as an inspiration for us all. Manipal University Jaipur continues to foster unity, diversity, and progress.","manipal university jaipur, manipal university, university jaipur, all manipal university, vallabhbhai patel on, university jaipur continues, us all manipal, uniting india, man of india, jaipur continues to"
"A Proud Moment for Manipal University Jaipur(MUJ). Congratulations to Manini Kaushik (Final year Student of BA LLB (Hons.), MUJ) for clinching the Silver Medal in the Women's 50-Meter Rifle, 3-Position Team Event at the Asian Games 2023 at Hangzhou, China. Best wishes for your future endeavors.","manipal university jaipur, manipal university, university jaipur muj, university jaipur, for manipal university, congratulations to manini, student of ba, jaipur muj congratulations, moment for manipal, kaushik final year"
"Manipal University Jaipur (MUJ) congratulates Nischal (Student of BBA II year, MUJ), a shining star in the world of shooting. Your Silver Medal win in the Women's 50m Rifle 3-Position event at the ISSF World Cup Rifle/Pistol Stage is a testament to your dedication and precision. Keep aiming for the stars, and may your future be filled with even more brilliant accomplishments.","manipal university jaipur, manipal university, jaipur muj congratulates, university jaipur, university jaipur muj, congratulates nischal student, student of bba, silver medal, jaipur muj, future be"
"Manipal University Jaipur is delighted to announce that the University has been ranked in the Times Higher Education World University Rankings 2024 in the band of 1201- 1500 in its first attempt, 964th Globally in Quality Research and 58th Nationally. Huge congratulations to our dedicated team for their unwavering efforts in achieving this remarkable milestone.","manipal university jaipur, manipal university, university jaipur is, university jaipur, jaipur is delighted, university rankings 2024, higher education world, jaipur is, achieving this remarkable, the university has"
"Manipal University Jaipur's IEEE student branch invites you for the grand and entertaining ""Elohim"" Closing Ceremony, a highlight of the Genesis 3.0 tech-cultural fest. Join us for the Closing Ceremony, ""Elohim"", as we welcome the incredibly talented and hilarious Mr. Aakash Gupta to our campus. Get ready to laugh till your cheeks hurt, and make the final moments of this extraordinary event truly unforgettable.","manipal university jaipur, manipal university, university jaipur ieee, university jaipur, jaipur ieee student, mr aakash gupta, jaipur ieee, incredibly talented and, tech cultural, campus get ready"
"Guiding pathfinders toward excellence, at Manipal University Jaipur’s Faculty of Management and Commerce, we have our distinguished Chief Guest, Mr. Pankaj Gera (Sr. VP, Tata AIA Life Insurance), who will ignite the aspirations of our budding leaders. His wisdom will steer our students toward triumph and distinction.","manipal university jaipur, excellence at manipal, at manipal university, university jaipur faculty, university jaipur, manipal university, jaipur faculty of, jaipur faculty, guest mr pankaj, at manipal"
"We are excited to invite all to Manipal University Jaipur's Faculty of Engineering Orientation Programme, featuring our esteemed Chief Guest, Mr. Anil Vohra, Managing Director at Accenture. Get ready to be inspired and embark on a journey of knowledge and innovation.","manipal university jaipur, manipal university, university jaipur faculty, university jaipur, engineering orientation programme, to manipal university, jaipur faculty of, faculty of engineering, all to manipal, jaipur faculty"
"It is going to be an enlightening day at Manipal University Jaipur's Faculty of Engineering Orientation Programme with our esteemed Chief Guest, Mr. Kamal Stephen, Director - Early Career TA, SAP Lab, Bangalore. His insights and expertise will pave the way for our engineering students' future success.","manipal university jaipur, at manipal university, university jaipur faculty, engineering students future, university jaipur, manipal university, bangalore his insights, jaipur faculty of, jaipur faculty, engineering orientation programme"
Manipal University Jaipur has been recognized for its excellence in progressive education at par with global standards and has been ranked 6th among the Top 50 State Private Universities in the Outlook-ICARE India University Rankings 2023.,"manipal university jaipur, manipal university, india university, university jaipur has, university jaipur, jaipur has been, its excellence in, university rankings 2023, jaipur has, india university rankings"
